row_num,review_id,id,contract,clause_type,clause_text,category,disagreement_type,disagreement_direction,label_gap,clause_risk_profile,typical_risk_for_type,qwen_label,gemini_label,copilot_label,qwen_confidence,gemini_confidence,qwen_reason,gemini_reason,final_label,reviewer,notes
5031,MR-004,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT__Anti-Assignment,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,Anti-Assignment,"Alliance Agreement upon such Change in Control; provided, further, that Siemens may assign its rights and obligations under this  Agreement to any Distributor that agrees, in writing, to be bound by and comply with the terms and conditions of this Agreement  and the provisions of the Strategic Alliance Agreement, provided, that no such assignment shall relieve Siemens of its obligations  hereunder or thereunder if such Distributor does not perform such obligations.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.9,1,"The clause grants the drafter (Siemens) a unilateral right to assign the contract to a third party without requiring the signing party's consent, which creates significant uncertainty regarding the counterparty's relationship with a new, potentially unknown entity. Although Siemens retains liability, the signing party loses control over who they are contracting with, which is a heavily one-sided term favoring the drafter's flexibility.","From the perspective of the counterparty to Siemens, this clause is favorable. Siemens can assign to a distributor, but critically, Siemens remains liable for the obligations if the distributor fails to perform. This provides a strong protection for the signing party, ensuring that Siemens cannot simply offload its responsibilities without retaining accountability.",MEDIUM,Vishal,Can be reviewed by party. Normally with penalty given it should be choice for simens to assign work to any party
5032,MR-005,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)__Anti-Assignment","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",Anti-Assignment,This Agreement shall not be assignable by Consultant.,MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.95,1,"The clause imposes a unilateral restriction on the Consultant (the drafter) while remaining silent on the signing party's (Customer's) right to assign. This creates a significant imbalance, preventing the Customer from transferring the contract to a successor or affiliate without explicit negotiation, while the Consultant retains full control over their own assignment rights.","From the perspective of the counterparty (the party signing the contract, not the Consultant), this clause restricts only the Consultant's ability to assign the agreement. This is favorable to the signing party as it ensures the Consultant remains the service provider and cannot transfer their obligations without the signing party's implicit agreement (as the signing party is not restricted from assigning).",LOW,Vishal,Agree with Gemini reasoning
5033,MR-006,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.__Anti-Assignment","ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",Anti-Assignment,"Accordingly, except as otherwise expressly provided below, neither Nantz Communications nor Nantz shall assign any of their respective rights or delegate any of their respective duties or obligations under this Agreement without the written consent of the Company.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.9,1,"The clause imposes a unilateral restriction on the drafter (Nantz) requiring the Company's written consent for assignment, while the signing party (the Company) is not explicitly bound by the same restriction. This creates a significant imbalance, allowing the Company to assign its rights freely while potentially leaving it locked into a relationship with an unwanted assignee of Nantz if consent is withheld or if the clause is interpreted to prevent the Company from transferring its own obligations or rights without similar constraints.","This clause restricts assignment by Nantz Communications and Nantz, the counterparty to the Company. From the Company's perspective (the signing party in this context), this is favorable as it ensures the Company retains control over who performs the contract and to whom Nantz's rights are transferred, without needing to provide its own consent for assignment. It protects the Company's interest in maintaining the specific relationship.",LOW,Vishal,Agree with Gemini reasoning
5034,MR-007,"Antares Pharma, Inc. - Manufacturing Agreement__Anti-Assignment","Antares Pharma, Inc. - Manufacturing Agreement",Anti-Assignment,Any purported assignment in violation of this paragraph shall be void and ineffectual and shall not operate to transfer or assign any interest or title to the purported assignee.,MANUAL_REVIEW,LOW↔HIGH,Gemini↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),LOW,HIGH,Medium,0.9,0.9,"This clause establishes a standard legal consequence for unauthorized assignment by declaring it void, which protects the signing party from being bound to an unwanted third party without their consent. It does not explicitly restrict the signing party's right to assign, only penalizing violations, making it a standard protective provision.","This clause makes any assignment in violation of an unstated 'paragraph' (presumably an anti-assignment provision) void and ineffectual. This is highly restrictive for the signing party as it means an attempted assignment would be legally invalid, rather than just a breach of contract. This significantly limits the signing party's flexibility for corporate restructuring, mergers, or acquisitions, as it could invalidate the transfer of the contract itself.",LOW,Vishal,Agree to qwen logic
5035,MR-008,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement__Anti-Assignment","BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",Anti-Assignment,"Except as expressly provided in this Agreement, Bellicum specifically agrees not to, and agrees not to cause any Third Party to, sell, market, export, transfer, or re-export Miltenyi Products without Miltenyi's express prior written consent.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.95,0.9,"The clause imposes a unilateral restriction on the signing party (Bellicum) prohibiting core commercial activities like selling and marketing without the drafter's consent, rather than addressing the assignment of the contract itself. This creates significant operational risk by granting the drafter absolute discretion to block the signing party's ability to conduct business or transfer assets, which is disproportionate to a standard anti-assignment provision.","This clause is not an anti-assignment clause. It is a restriction on the sale, marketing, export, transfer, or re-export of Miltenyi Products by Bellicum. From Bellicum's perspective, this is a standard restriction on the use and distribution of a counterparty's products, requiring consent for specific actions. It does not restrict the assignment of the agreement itself.",MEDIUM,Vishal,Agree to Gemini reasoning
5036,MR-009,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT__Anti-Assignment,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,Anti-Assignment,"This guaranty is personal to you and the obligations and duties imposed in it may not be delegated or assigned; provided, this guaranty shall be binding upon your successors, assigns, estates and personal representatives.",MANUAL_REVIEW,LOW↔HIGH,Gemini↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),LOW,HIGH,Medium,0.95,0.9,"This is a standard anti-assignment clause that restricts the signing party (the guarantor) from transferring their obligations, which is typical for personal guaranties to ensure the guarantor remains liable. It does not restrict the signing party's ability to assign rights or benefits, nor does it impose unusual liabilities.","The clause explicitly states that the signing party (the guarantor) cannot delegate or assign their obligations, making the guaranty personal. This severely restricts the signing party's flexibility to transfer their obligations, which is a significant risk, especially in a guaranty context where the ability to offload liability might be desired. While the clause states it binds successors, this does not mitigate the inability to assign by the signing party.",LOW,Vishal,Agree to Gemini reasoning
5037,MR-010,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement__Anti-Assignment,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,Anti-Assignment,"Except as provided in the preceding sentence, this Agreement may not be assigned by PrimeCall without the prior written consent of DeltaThree.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.95,1,"The clause imposes a unilateral restriction on assignment that applies only to PrimeCall (the signing party), while granting DeltaThree (the drafter) sole discretion to withhold consent. This creates a significant risk by preventing the signing party from transferring the contract or its benefits to a third party without the drafter's approval, effectively locking the signing party into the relationship and limiting their operational flexibility.","The clause restricts assignment by PrimeCall, the counterparty, requiring DeltaThree's (the signing party's) consent. This is favorable to DeltaThree as it gives them control over who PrimeCall can assign the contract to, protecting DeltaThree's interests.",LOW,Vishal,Agree to Gemini reasoning
5038,MR-011,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement__Anti-Assignment,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,Anti-Assignment,Any attempted  assignment in violation of this section shall be void.,MANUAL_REVIEW,LOW↔HIGH,Gemini↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),LOW,HIGH,Medium,0.95,0.9,"This is a standard anti-assignment consequence clause that merely defines the legal effect of a prohibited assignment (voidness) without imposing additional restrictions, penalties, or one-sided obligations on the signing party.","This clause makes any assignment in violation of the (unspecified) anti-assignment terms void, which is a severe consequence for the signing party. It implies that if the signing party assigns the contract without meeting certain conditions (which are not provided in this fragment), the assignment would be legally ineffective, potentially disrupting business operations or M&A activities. Without knowing the conditions for assignment, this 'void' language presents a significant, undefined risk.",LOW,Vishal,Qwen login seems fine here 
5039,MR-012,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement__Anti-Assignment,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,Anti-Assignment,"controlled by, under common control with, or controls a party.",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.4,0.8,"The text is a fragment lacking the operative prohibition or consent mechanism, creating significant ambiguity about whether assignment to affiliates is permitted or restricted, which could inadvertently block necessary corporate restructuring or affiliate transfers.","This fragment likely describes an exception to an anti-assignment clause, permitting assignment to affiliates (entities under common control) without consent. This is a standard and favorable carve-out for the signing party, allowing for internal corporate restructuring without needing counterparty approval.",LOW,Vishal,Not enough info but given gemini score LOW seems reasonable
5040,MR-013,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement__Anti-Assignment,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement,Anti-Assignment,"in, or the assets of, any member of the SpinCo Group in a single transaction or a series of related transactions to one or more third parties, (y) any direct or indirect acquisition, consolidation or merger of any member of the SpinCo Group by, with or into any third party or (z) any spin-off, public offering or other corporate reorganization or single transaction or series of related transactions in which direct or indirect control of any member of the SpinCo Group is transferred to one or more third parties, including by transferring an excess of fifty percent (50%) of such member of the SpinCo Group's voting power, shares or equity, through a merger, consolidation, tender offer or similar transaction to one or more third parties",MANUAL_REVIEW,LOW↔HIGH,Qwen↑,2,typically MEDIUM — asymmetry determines risk,MEDIUM (52%),HIGH,LOW,Medium,0.9,0.9,"The clause defines a 'Change of Control' event broadly to include any acquisition or merger of the SpinCo Group (the signing party) by a third party, which likely triggers termination or adverse consequences for the signing party without their consent, creating significant uncertainty and potential loss of the contract upon a standard corporate transaction.","This clause describes events that constitute a change of control or asset transfer for the 'SpinCo Group' (the drafter's side), not the signing party. It does not impose any restrictions or requirements on the signing party regarding assignment, consent, or notice. Therefore, from the signing party's perspective, there is no direct risk related to anti-assignment.",MEDIUM,Vishal,Not sure from the reasoning. Assigned Medium.
