review_id,review_type,clause_type,contract,qwen_label,gemini_label,qwen_confidence,gemini_confidence,qwen_reason,gemini_reason,clause_text,final_label,notes
TYPE_016,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,MEDIUM,LOW,0.0,1.0,"The perpetual and worldwide scope creates a long-term commitment that may limit the signing party's ability to renegotiate terms or switch to alternative technologies in the future, although the non-exclusive nature and format restriction (Object Code only) provide some mitigation.","The clause grants a perpetual and worldwide license, which is highly favorable to the signing party (LICENSEE) as it ensures long-term use of the technology without geographic restrictions. The 'non-exclusive' and 'Object Code format only as an incorporated part of the Licensee Product' limitations are standard for such licenses and do not introduce significant risk.","(i)      Subject to the terms and conditions of this  Agreement, D2 hereby grants LICENSEE a perpetual non-exclusive, worldwide license, to use Licensed Technology in Object Code format only as an incorporated part of the Licensee Product.",,
TYPE_011,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement",MEDIUM,LOW,0.0,1.0,"The grant is perpetual and irrevocable, which locks the signing party (Magenta) into a permanent license without time limits or termination rights, though the scope is limited to the specific deliverable and includes a right to sublicense.","This clause grants a broad, perpetual, irrevocable, and royalty-free license to the signing party (Magenta) for the necessary intellectual property to exploit deliverables. This is highly favorable to the signing party, ensuring long-term rights without additional cost or future negotiation.","deliverable (including Magenta Developed Intellectual Property (including Product)) or is otherwise necessary to fully exploit such deliverable, Bachem hereby grants to Magenta a perpetual, irrevocable, nonexclusive, worldwide, paid up, royalty-free license under such Bachem Intellectual Property (with the full right to sublicense directly or indirectly through multiple tiers) to (i) copy, distribute, display, perform and create derivative works of the Bachem Intellectual Property, in whole or in part; and (ii) to use Bachem Intellectual Property and/or practice the subject matter thereof, in each case solely in connection with manufacturing, marketing, promoting, using, selling, offering for sale, importing or distributing such deliverable (e.g., Product). Without limiting the foregoing, Magenta may use and disclose Bachem Intellectual Property to the extent necessary in",,
TYPE_017,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,MEDIUM,LOW,0.9,1.0,"The grant of a perpetual, irrevocable, and royalty-free license creates a significant, long-term loss of control over the Licensed IP for the signing party (Seller), as they cannot reclaim rights or earn future royalties even if the business relationship ends, though the carve-outs for Trademarks and Patents and the 'except as expressly set forth' language provide some limited mitigation.","The clause grants the Purchaser Licensees a perpetual, fully paid-up, royalty-free, worldwide, and irrevocable license, which is highly favorable to the signing party (Purchaser Licensees). The exceptions for irrevocability, sublicensing, and transferability are standard and allow for specific negotiated terms elsewhere in the agreement, but the core grant remains strong.","Effective as of the Initial Closing Date the Seller hereby grants (and will cause each other Seller Party to grant, following each applicable Closing Date), to the Purchaser Licensees an irrevocable (except as expressly set forth herein), non-sublicenseable (except as expressly set forth herein), perpetual, fully paid-up, royalty-free, worldwide, non-transferable (except as expressly set forth herein), non-exclusive license, under the Licensed IP (other than Trademarks and Patents):

(i) (A) to use such Licensed IP in the operation of the Business and to practice any methods, processes, and procedures in connection therewith and (B) to make, have made, use, sell, offer for sale, import, and otherwise dispose of products, services, and systems that were designed, developed, manufactured,",,
TYPE_010,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,MEDIUM,LOW,0.0,1.0,"The grant is perpetual and world-wide, locking the signing party (Liquidmetal) into an indefinite license for future technologies acquired by the counterparty, which limits flexibility to renegotiate terms for new developments and creates a long-term dependency without a defined termination date.","The clause grants the signing party (Liquidmetal) a perpetual, worldwide, and royalty-free license to new process technologies. This is highly favorable to the signing party, providing long-term, broad access without ongoing costs.","Eutectix hereby grants to Liquidmetal a fully-paid up, royalty-free, perpetual, world-wide, non-exclusive license to any New Process Technologies in which Eutectix acquires licensing rights pursuant to Section 8.2 above.",,
TYPE_014,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,MEDIUM,LOW,0.9,0.9,"The license is explicitly non-transferable, restricting the Customer's ability to assign the license to affiliates or successors without meeting specific conditions in a separate assignment clause, which limits operational flexibility compared to a fully transferable grant.","The clause grants the Customer a broad, irrevocable, worldwide, fully paid-up license to make, have made, sell, or commercialize the Product using Philips' Retained Product IP. While it is non-exclusive and does not include sub-licensing rights, these are common limitations. The 'non-transferable' limitation is mitigated by the exception for assignment in accordance with clause 18.4, which is a standard carve-out. Overall, this is a favorable license grant for the Customer, ensuring their ability to continue manufacturing and commercializing the Product.","For greater certainty, ""New Technology"" shall exclude any (x) modification to Philips pre-existing Intellectual Property Rights (which, shall exclude any Intellectual Property Rights forming part of the ""Purchased Assets"" under the Purchase Agreement) and (y) developments developed not for the Products (collectively, ""Philips Retained Product IP'), provided that Philips and its Affiliates hereby grant to Customer under any such Intellectual Property Rights, which are applicable or used for the manufacturing of the Product, a non- exclusive, non-transferable (except in accordance with clause 18.4 (Assignment)), irrevocable, world-wide, fully paid-up license, without the right to grant sub-licenses, to make, have made, sell or commercialize in any other way the Product.",,
TYPE_015,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,HIGH,MEDIUM,0.95,0.9,"The license grant is conditional upon the signing party terminating the agreement due to the drafter's default or cessation of support, effectively denying the signing party the right to use, modify, or improve the software during the normal course of the contract or if the drafter simply stops supporting it without a formal default finding.","The license grant, while perpetual and fully paid, is conditional and only becomes effective upon specific triggering events (Garman's default or cessation of support). This limits Sparkling's immediate and proactive use of the license, making it a reactive rather than a proactive protection. While it offers a critical fallback, the conditional nature introduces a dependency on Garman's actions for the license to be utilized.","Garman hereby grants to Sparkling, a perpetual, fully paid, non-exclusive license entitling Sparkling to use and reproduce the Codes deposited with it pursuant to Section (a) to change, update, add to, or substitute the Codes, the Software or any part thereof, limited to Sparkling's needs for the use and improvement of the Software or Sparkling's operations, provided that Sparkling shall only be entitled to utilize such license if Sparkling terminates this Agreement pursuant to Section 17(c) due to Garman's default, or if Garman ceases to support the Software as required pursuant to this Agreement.",,
TYPE_008,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement,MEDIUM,LOW,0.85,1.0,"The license scope is strictly tethered to historical usage, which creates significant uncertainty and potential risk for the signing party (Honeywell) regarding future business growth or necessary pivots, as 'natural growth' may be interpreted narrowly by the licensor.","The clause grants a broad, perpetual, royalty-free, and worldwide license to the signing party (Honeywell), which is highly favorable. The sublicense limitation to subsidiaries and suppliers for 'have made' purposes is a common and reasonable restriction, not significantly diminishing the value of the license.","Hence, as of the Distribution Date, SpinCo hereby grants, and agrees to cause the members of the SpinCo Group to hereby grant, to Honeywell and the members of the Honeywell Group a non-exclusive, royalty-free, fully-paid, perpetual, sublicenseable (solely to Subsidiaries and suppliers for ""have made"" purposes), worldwide license to use and exercise rights under the SpinCo Shared IP (excluding Trademarks and the subject matter of any other Ancillary Agreement), said license being limited to use of a similar type, scope and extent as used in the Honeywell Business prior to the Distribution Date and the natural growth and development thereof.",,
TYPE_002,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",MEDIUM,LOW,0.85,0.6,"The clause creates a one-sided termination right triggered by a specific 'Extended Force Majeure Event' defined by the drafter (Ginkgo), which could allow the drafter to end the agreement and potentially affect license rights without the signing party having a reciprocal right to terminate under similar conditions.","This clause describes a condition for termination by the drafter (Ginkgo) due to an Extended Force Majeure Event. It does not grant an irrevocable or perpetual license, nor does it impose any specific risk related to such a license on the signing party. The clause is incomplete and does not provide enough information to assess any risk related to the clause type 'Irrevocable Or Perpetual License'.","In the event that termination is elected by Ginkgo based upon an Extended Force Majeure Event with respect to BLI pursuant to Section 13.2.1 (Force Majeure), then, as of the effective date of termination:",,
TYPE_001,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT,MEDIUM,LOW,0.85,0.9,"The clause grants the counterparty (Adaptimmune) an exclusive right to negotiate, which restricts the signing party (MD Anderson) from negotiating with other potential partners during the option period. While this is a common commercial mechanism and not a final binding exclusivity obligation yet, it creates a temporary lock-in that limits the signing party's ability to pursue alternative deals, warranting attention to the duration and terms of this option.","The clause grants an 'exclusive option to negotiate,' which is a preliminary step and does not commit the signing party (Adaptimmune Limited) to an exclusive dealing arrangement. It merely provides the right to negotiate, which is favorable as it allows the signing party to explore a potential deal without immediate exclusivity obligations.",MD Anderson also hereby grants to Adaptimmune Limited an exclusive option to negotiate an,,
TYPE_009,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),MEDIUM,LOW,0.0,1.0,"The grant is perpetual and royalty-free, which permanently locks the signing party (HealthGate) into a license without future revenue potential or the ability to renegotiate terms, creating a one-sided benefit for the drafter (Publishers) that limits the signing party's future strategic flexibility.","From the perspective of the signing party (HealthGate), receiving a perpetual, royalty-free license is highly favorable. It grants long-term, cost-free use of the Specification without future obligations, which is a significant benefit.","Publishers grant to HealthGate a perpetual, royalty-free licence to             use the Specification.",,
TYPE_004,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,MEDIUM,LOW,0.9,1.0,"The grant is explicitly perpetual and non-transferable, which locks the Customer into a long-term relationship with the vendor and prevents the Customer from selling, assigning, or restructuring the license rights even if business needs change or the vendor performs poorly.","The clause grants a perpetual license, which is highly favorable to the customer as it ensures continued use of the software indefinitely. While it is personal, non-transferable, and non-exclusive, these are standard limitations for software licenses and do not diminish the significant benefit of a perpetual right to use for internal business purposes.","Subject to the provisions of this Agreement including the provisions of Article 8, Changepoint hereby grants to Customer and Customer hereby accepts from Changepoint the perpetual, personal, non-transferable and non-exclusive Software Licenses to use the Licensed Software for Customer's internal business purposes.",,
TYPE_007,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,MEDIUM,LOW,0.9,1.0,"The license grant is strictly limited to the specific 'SpinCo Field of Use' and existing usage scope, which restricts the signing party's ability to expand into new product lines, services, or markets without renegotiation or additional rights, creating a potential operational constraint compared to a broader grant.","The clause grants a broad, perpetual, irrevocable, transferable, and sublicensable license to the signing party (SpinCo) and its affiliates (SpinCo Group), which is highly favorable. While there are exclusions and limitations on use, the core grant is strong for the licensee.","Subject to the terms and conditions of this Agreement, as of the Distribution Date, Nuance hereby grants to SpinCo and the members of the SpinCo Group a worldwide, non-exclusive, fully paid-up, perpetual and irrevocable, transferable (subject to ARTICLE VIII), sublicensable (subject to Section 3.01(g)) license to continue to use any Nuance IP (other than Nuance Patents, Nuance Technology Assets, Nuance Trademarks and Nuance Data), in each case solely as and to the extent that it is used by the SpinCo Group in connection with products and services of the SpinCo Business within the SpinCo Field of Use, together with natural extensions and evolutions thereof.",,
TYPE_005,TYPE_DISAGREEMENT,Irrevocable Or Perpetual License,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,MEDIUM,LOW,0.0,1.0,"The grant is explicitly perpetual and irrevocable, locking the signing party (Corio) into a long-term financial obligation ('fee-bearing') without an exit mechanism, while the nontransferable restriction limits the ability to sell or restructure the business assets related to this license.","The license granted to Corio is perpetual and irrevocable, which is highly favorable to the signing party (Corio) as it ensures long-term access and use of the software. While non-exclusive and generally non-transferable, the irrevocability and perpetual nature significantly reduce future risk for Corio regarding software availability.","Subject to the terms and conditions of this         Agreement, Commerce One hereby grants to Corio a fee-bearing, perpetual         and irrevocable, nonexclusive, nontransferable (except in accordance         with Section 14.1 of this Agreement), right and license in the Territory         to (i) reproduce the Software in machine executable object code format         only for installation on the Corio Servers; (ii) install multiple copies         of the Software on Corio's Servers which will be made remotely         accessible to Corio's Customers for their subsequent use, (iii) permit         limited access to and use of the Software and MarketSite.net Service by         Customers through Corio Servers; (iv) sublicense an unlimited number of         Customers to access and use the Software and MarketSite.net Service only         through the installation on Corio servers; and (v) use Commerce One's         tools and utilities, subject to any restrictions placed on the Commerce         One by third party software providers, to modify and manage the         Software.",,
